,ENGINEER_TITLE,EMPLOYER_SIZE,SF,LA,PW_WAGE_LEVEL,YEAR,Cost of Living Plus Rent Index,ADJUSTED_P_WAGE
127,1,large,1,0,2,2019,98.6,97439.1
128,0,large,1,0,3,2019,98.6,131445.2
129,0,large,1,0,3,2019,98.6,131445.2
130,1,large,0,0,1,2019,100.0,92394.0
131,0,large,1,0,1,2019,98.6,63434.1
132,0,medium,0,0,2,2019,100.0,114317.0
133,0,medium,0,0,1,2019,100.0,92394.0
134,0,large,0,0,1,2019,100.0,92394.0
135,0,small,1,0,3,2019,98.6,131445.2
136,0,large,1,0,1,2019,98.6,63434.1
137,0,medium,1,0,3,2019,98.6,131445.2
138,0,medium,1,0,1,2019,98.6,63434.1
139,0,medium,1,0,2,2019,98.6,97439.1
140,0,medium,1,0,2,2019,98.6,97439.1
141,0,large,0,0,3,2019,100.0,136219.0
142,0,small,0,0,2,2019,100.0,114317.0
143,1,medium,1,0,4,2019,98.6,165450.3
144,0,large,1,0,3,2019,98.6,131445.2
145,1,large,1,0,3,2019,98.6,131445.2
146,0,medium,0,0,2,2019,100.0,114317.0
147,0,large,1,0,3,2019,98.6,131445.2
148,0,small,1,0,3,2019,98.6,131445.2
149,0,large,0,0,2,2019,100.0,114317.0
150,0,small,1,0,3,2019,98.6,131445.2
151,0,medium,1,0,3,2019,98.6,131445.2
152,0,large,0,0,2,2019,100.0,114317.0
153,0,large,0,0,2,2019,100.0,114317.0
154,0,large,0,0,2,2019,100.0,114317.0
155,0,large,0,0,1,2019,100.0,92394.0
156,0,medium,1,0,4,2019,98.6,176610.5
157,0,large,0,0,2,2019,100.0,111904.0
158,0,large,0,1,3,2019,73.9,168793.0
159,1,large,0,0,1,2019,100.0,89586.0
160,1,large,1,0,2,2019,98.6,108703.9
161,1,medium,1,0,3,2019,98.6,142667.3
162,1,medium,0,0,2,2019,100.0,111904.0
163,1,large,1,0,3,2019,98.6,142667.3
164,0,large,1,0,2,2019,98.6,108703.9
165,0,large,0,0,2,2019,100.0,111904.0
166,0,large,0,0,1,2019,100.0,89586.0
167,0,large,0,0,1,2019,100.0,72509.0
168,0,large,1,0,2,2019,98.6,104359.0
169,0,large,1,0,2,2019,98.6,104359.0
170,0,large,0,0,2,2019,100.0,93642.0
171,0,small,1,0,4,2019,98.6,143870.2
172,1,large,0,0,1,2019,100.0,72509.0
173,0,large,1,0,2,2019,98.6,104359.0
174,1,large,0,0,3,2019,100.0,114754.0
175,0,large,1,0,4,2019,98.6,143870.2
176,0,large,0,0,2,2019,100.0,93642.0
177,0,large,0,0,2,2019,100.0,93642.0
178,0,large,0,0,2,2019,100.0,93642.0
179,0,large,1,0,2,2019,98.6,102818.5
180,0,large,1,0,2,2019,98.6,102818.5
181,0,large,1,0,3,2019,98.6,120011.2
182,1,large,1,0,4,2019,98.6,138870.2
183,0,large,1,0,4,2019,98.6,138870.2
184,0,large,0,0,2,2019,100.0,72530.0
185,1,medium,1,0,2,2019,98.6,122796.1
186,1,large,1,0,2,2019,98.6,122796.1
187,1,large,0,0,2,2019,100.0,96366.0
188,1,large,0,0,2,2019,100.0,96366.0
189,1,large,0,0,2,2019,100.0,96366.0
190,1,large,0,0,2,2019,100.0,96366.0
191,0,large,1,0,2,2019,98.6,122796.1
192,1,large,1,0,2,2019,98.6,120813.4
193,0,large,0,1,3,2019,73.9,150581.9
194,1,medium,0,0,3,2019,100.0,117624.0
195,1,large,0,0,3,2019,100.0,117624.0
196,1,small,1,0,2,2019,98.6,122796.1
197,1,large,1,0,2,2019,98.6,122796.1
198,1,large,1,0,4,2019,98.6,159945.2
199,1,large,1,0,3,2019,98.6,149692.7
200,1,large,1,0,4,2019,98.6,176589.2
201,1,large,1,0,1,2019,98.6,95899.6
202,1,large,1,0,2,2019,98.6,122796.1
203,0,large,1,0,2,2019,98.6,122796.1
204,1,large,1,0,3,2019,98.6,149692.7
205,1,large,1,0,2,2019,98.6,120137.9
206,1,large,0,0,3,2019,100.0,117624.0
207,0,large,0,0,2,2019,100.0,96366.0
208,1,large,1,0,3,2019,98.6,149692.7
209,1,large,0,0,2,2019,100.0,96366.0
210,0,large,1,0,2,2019,98.6,122796.1
211,0,large,0,0,3,2019,100.0,117624.0
212,0,large,0,0,3,2019,100.0,117624.0
213,0,large,0,0,4,2019,100.0,138861.0
214,1,large,0,0,2,2019,100.0,96366.0
215,0,large,0,0,2,2019,100.0,96366.0
216,1,medium,0,0,2,2019,100.0,96366.0
217,1,large,1,0,2,2019,98.6,122796.1
218,0,large,0,0,2,2019,100.0,96366.0
219,1,large,0,1,2,2019,73.9,123673.9
220,0,large,1,0,1,2019,98.6,95899.6
221,1,large,0,0,3,2019,100.0,117624.0
222,1,large,1,0,2,2019,98.6,122796.1
223,1,large,1,0,3,2019,98.6,149692.7
224,1,medium,0,0,1,2019,100.0,75130.0
225,1,large,1,0,2,2019,98.6,122796.1
226,1,large,1,0,2,2019,98.6,122796.1
227,0,large,0,0,1,2019,100.0,75130.0
228,1,large,1,0,2,2019,98.6,122796.1
229,1,large,0,0,2,2019,100.0,96366.0
230,0,large,0,0,2,2019,100.0,96366.0
